%year month day hour minute sea-level-height flag1 flag2
2004 01 22 03 00 0.398 0.006 0
2004 01 22 04 00 0.400 0.005 0
2004 01 22 05 00 0.363 0.003 0
2004 01 22 06 00 0.300 0.003 0
2004 01 22 07 00 0.222 0.009 0
2004 01 22 08 00 0.110 0.004 0
2004 01 22 09 00 0.003 0.002 0
2004 01 22 10 00 -0.081 0.003 0
2004 01 22 11 00 -0.172 0.003 0
2004 01 22 12 00 -0.256 0.007 0
2004 01 22 13 00 -0.301 0.004 0
2004 01 22 14 00 -0.326 0.006 0
2004 01 22 15 00 -0.336 0.004 0
2004 01 22 16 00 -0.291 0.008 0
2004 01 22 17 00 -0.236 0.004 0
2004 01 22 18 00 -0.163 0.002 0
2004 01 22 19 00 -0.082 0.010 0
2004 01 22 20 00 -0.012 0.002 0
2004 01 22 21 00 0.065 0.002 0
2004 01 22 22 00 0.125 0.002 0
2004 01 22 23 00 0.195 0.005 0
2004 01 23 00 00 0.260 0.002 0
2004 01 23 01 00 0.323 0.007 0
2004 01 23 02 00 0.370 0.003 0
2004 01 23 03 00 0.397 0.003 0
2004 01 23 04 00 0.403 0.004 0
2004 01 23 05 00 0.396 0.003 0
2004 01 23 06 00 0.365 0.004 0
2004 01 23 07 00 0.301 0.004 0
2004 01 23 08 00 0.237 0.001 0
2004 01 23 09 00 0.132 0.006 0
2004 01 23 10 00 0.043 0.007 0
2004 01 23 11 00 -0.049 0.002 0
2004 01 23 12 00 -0.096 0.002 0
2004 01 23 13 00 -0.147 0.002 0
2004 01 23 14 00 -0.202 0.003 0
2004 01 23 15 00 -0.228 0.003 0
2004 01 23 16 00 -0.208 0.005 0
2004 01 23 17 00 -0.164 0.003 0
2004 01 23 18 00 -0.093 0.002 0
2004 01 23 19 00 -0.022 0.004 0
2004 01 23 20 00 0.006 0.001 0
2004 01 23 21 00 0.073 0.002 0
2004 01 23 22 00 0.140 0.005 0
2004 01 23 23 00 0.174 0.006 0
2004 01 24 00 00 0.239 0.004 0
2004 01 24 01 00 0.261 0.004 0
2004 01 24 02 00 0.305 0.002 0
2004 01 24 03 00 0.327 0.003 0
2004 01 24 04 00 0.345 0.001 0
2004 01 24 05 00 0.357 0.004 0
2004 01 24 06 00 0.350 0.001 0
2004 01 24 07 00 0.314 0.003 0
2004 01 24 08 00 0.262 0.002 0
2004 01 24 09 00 0.206 0.001 0
2004 01 24 10 00 0.122 0.008 0
2004 01 24 11 00 0.058 0.002 0
2004 01 24 12 00 -0.003 0.003 0
2004 01 24 13 00 -0.038 0.005 0
2004 01 24 14 00 -0.064 0.003 0
2004 01 24 15 00 -0.093 0.002 0
2004 01 24 16 00 -0.080 0.004 0
2004 01 24 17 00 -0.087 0.002 0
2004 01 24 18 00 -0.032 0.003 0
2004 01 24 19 00 -0.005 0.002 0
2004 01 24 20 00 0.048 0.006 0
2004 01 24 21 00 0.107 0.005 0
2004 01 24 22 00 0.146 0.007 0
2004 01 24 23 00 0.176 0.004 0
2004 01 25 00 00 0.235 0.003 0
2004 01 25 01 00 0.272 0.005 0
2004 01 25 02 00 0.337 0.002 0
2004 01 25 03 00 0.362 0.003 0
2004 01 25 04 00 0.388 0.005 0
2004 01 25 05 00 0.416 0.004 0
2004 01 25 06 00 0.403 0.006 0
2004 01 25 07 00 0.395 0.004 0
2004 01 25 08 00 0.425 0.002 0
2004 01 25 09 00 0.412 0.005 0
2004 01 25 10 00 0.367 0.009 0
2004 01 25 11 00 0.305 0.005 0
2004 01 25 12 00 0.290 0.005 0
2004 01 25 13 00 0.197 0.003 0
2004 01 25 14 00 0.144 0.004 0
2004 01 25 15 00 0.112 0.009 0
2004 01 25 16 00 0.133 0.006 0
2004 01 25 17 00 0.163 0.008 0
2004 01 25 18 00 0.189 0.010 0
2004 01 25 19 00 0.225 0.009 0
2004 01 25 20 00 0.186 0.003 0
2004 01 25 21 00 0.209 0.009 0
2004 01 25 22 00 0.224 0.012 0
2004 01 25 23 00 0.275 0.005 0
2004 01 26 00 00 0.261 0.005 0
2004 01 26 01 00 0.286 0.013 0
2004 01 26 02 00 0.302 0.007 0
2004 01 26 03 00 0.323 0.006 0
2004 01 26 04 00 0.332 0.007 0
2004 01 26 05 00 0.339 0.004 0
2004 01 26 06 00 0.346 0.003 0
2004 01 26 07 00 0.333 0.004 0
2004 01 26 08 00 0.316 0.006 0
2004 01 26 09 00 0.303 0.006 0
2004 01 26 10 00 0.296 0.008 0
2004 01 26 11 00 0.296 0.003 0
2004 01 26 12 00 0.257 0.005 0
2004 01 26 13 00 0.223 0.007 0
2004 01 26 14 00 0.237 0.002 0
2004 01 26 15 00 0.218 0.006 0
2004 01 26 16 00 0.238 0.008 0
2004 01 26 17 00 0.227 0.012 0
2004 01 26 18 00 0.178 0.008 0
2004 01 26 19 00 0.229 0.007 0
2004 01 26 20 00 0.231 0.008 0
2004 01 26 21 00 0.269 0.008 0
2004 01 26 22 00 0.269 0.003 0
2004 01 26 23 00 0.287 0.003 0
2004 01 27 00 00 0.302 0.006 0
2004 01 27 01 00 0.305 0.008 0
2004 01 27 02 00 0.279 0.010 0
2004 01 27 03 00 0.273 0.004 0
2004 01 27 04 00 0.275 0.005 0
2004 01 27 05 00 0.243 0.004 0
2004 01 27 06 00 0.259 0.010 0
2004 01 27 07 00 0.261 0.007 0
2004 01 27 08 00 0.175 0.004 0
2004 01 27 09 00 0.111 0.004 0
2004 01 27 10 00 0.129 0.006 0
2004 01 27 11 00 0.114 0.003 0
2004 01 27 12 00 0.142 0.005 0
2004 01 27 13 00 0.092 0.008 0
2004 01 27 14 00 -0.008 0.007 0
2004 01 27 15 00 0.033 0.006 0
2004 01 27 16 00 0.074 0.005 0
2004 01 27 17 00 0.072 0.003 0
2004 01 27 18 00 0.054 0.006 0
2004 01 27 19 00 0.068 0.004 0
2004 01 27 20 00 0.103 0.010 0
2004 01 27 21 00 0.133 0.003 0
2004 01 27 22 00 0.114 0.007 0
2004 01 27 23 00 0.094 0.005 0
2004 01 28 00 00 0.096 0.007 0
2004 01 28 01 00 0.075 0.004 0
2004 01 28 02 00 0.045 0.004 0
2004 01 28 03 00 0.003 0.006 0
2004 01 28 04 00 -0.018 0.003 0
2004 01 28 05 00 -0.045 0.003 0
